"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 49",0.194523792674462,0.752490278053231,54.0015125265824
"dim 50",0.19199000935719,0.742688663110778,54.7442011896932
"dim 51",0.190091633227063,0.735345039164477,55.4795462288577
"dim 52",0.187895957018919,0.726851348096333,56.206397576954
"dim 53",0.184450721205744,0.713523896377592,56.9199214733316
"dim 54",0.183008740805347,0.707945780623608,57.6278672539552
"dim 55",0.181833532102894,0.703399636878821,58.331266890834
"dim 56",0.179755406874948,0.695360676661634,59.0266275674956
"dim 57",0.178704471187046,0.691295267093309,59.7179228345889
"dim 58",0.176182830704413,0.681540625145202,60.3994634597342
"dim 59",0.173148026646135,0.669800875892668,61.0692643356268
"dim 60",0.17133241683786,0.662777422819493,61.7320417584463
"dim 61",0.167955754636853,0.64971523930151,62.3817569977478
"dim 62",0.16428362706838,0.635510086003522,63.0172670837513
"dim 63",0.161602419774079,0.62513818036325,63.6424052641146
"dim 64",0.160295728259282,0.620083412266348,64.2624886763809
"dim 65",0.157926109364103,0.61091684628078,64.8734055226617
"dim 66",0.155490009595698,0.601493107585946,65.4748986302477
"dim 67",0.153850865977583,0.595152291277531,66.0700509215252
"dim 68",0.151682376989124,0.586763770472719,66.6568146919979
"dim 69",0.150256222296495,0.581246874434201,67.2380615664321
"dim 70",0.148148965030827,0.573095220675187,67.8111567871073
"dim 71",0.146142409659188,0.56533311924392,68.3764899063512
"dim 72",0.143518084176756,0.555181253578407,68.9316711599296
"dim 73",0.142216699466435,0.550147014172217,69.4818181741018
"dim 74",0.13798763192196,0.533787410194239,70.0156055842961
"dim 75",0.137243095667964,0.530907267435932,70.546512851732
"dim 76",0.135583337778525,0.524486707469702,71.0709995592017
"dim 77",0.13342182804211,0.516125185003952,71.5871247442057
"dim 78",0.13285297535924,0.513924651549313,72.101049395755
"dim 79",0.130546855053102,0.505003721690136,72.6060531174451
"dim 80",0.128559861293803,0.497317291840768,73.1033704092859
"dim 81",0.127681895412595,0.493920993727368,73.5972914030133
"dim 82",0.124691694214305,0.482353784903192,74.0796451879165
"dim 83",0.123012623567393,0.475858516018114,74.5555037039346
"dim 84",0.122639266852896,0.474414233578203,75.0299179375128
"dim 85",0.119597386154291,0.462647109252549,75.4925650467653
"dim 86",0.118704277209592,0.45919223214529,75.9517572789106
"dim 87",0.117320291227267,0.453838460340088,76.4055957392507
"dim 88",0.116023516929251,0.448822055721041,76.8544177949717
"dim 89",0.113598804183766,0.439442366260107,77.2938601612318
"dim 90",0.112873318037329,0.43663591639323,77.7304960776251
"dim 91",0.110788290831112,0.42857025676063,78.1590663343857
"dim 92",0.107272241738975,0.41496887297814,78.5740352073638
"dim 93",0.105581035236123,0.408426658094912,78.9824618654588
"dim 94",0.104194363113894,0.403062495302902,79.3855243607617
"dim 95",0.102577438529142,0.396807630467899,79.7823319912296
"dim 96",0.102132991398067,0.395088343893005,80.1774203351226
"dim 97",0.101201582584179,0.391485308666787,80.5689056437893
"dim 98",0.10007980401071,0.387145852505366,80.9560514962947
"dim 99",0.0997578695557883,0.385900490464209,81.3419519867589
"dim 100",0.0975584438351792,0.377392294889242,81.7193442816482
"dim 101",0.0949211173533987,0.367190136529553,82.0865344181777
"dim 102",0.0943851708897839,0.365116896552673,82.4516513147304
"dim 103",0.0932471084562598,0.36071444837258,82.812365763103
"dim 104",0.0909481146781481,0.351821086570669,83.1641868496736
"dim 105",0.0901968958517344,0.348915093140277,83.5131019428139
"dim 106",0.0899574799645662,0.34798894356737,83.8610908863813
"dim 107",0.0882201548605832,0.341268324806082,84.2023592111874
"dim 108",0.0871608358410643,0.337170485397414,84.5395296965848
"dim 109",0.0845989737104713,0.327260251176297,84.8667899477611
"dim 110",0.0836088274353462,0.323429997634361,85.1902199453954
"dim 111",0.081219828274364,0.314188461582651,85.5044084069781
"dim 112",0.0803739115210798,0.310916141399412,85.8153245483775
"dim 113",0.0798400896558185,0.308851120158059,86.1241756685356
"dim 114",0.0784874183811912,0.303618485272812,86.4277941538084
"dim 115",0.0776056036806231,0.30020729849664,86.728001452305
"dim 116",0.0748673891541406,0.289614867709264,87.0176163200143
"dim 117",0.0730443290351652,0.282562594067184,87.3001789140815
"dim 118",0.0722649609998187,0.279547709041756,87.5797266231232
"dim 119",0.0712301596168216,0.275544712957239,87.8552713360804
"dim 120",0.0705885277715693,0.273062642671627,88.1283339787521
"dim 121",0.0696995127092703,0.269623602221997,88.3979575809741
"dim 122",0.0690878258455277,0.267257370246717,88.6652149512208
"dim 123",0.0681138868326817,0.263489812414807,88.9287047636356
"dim 124",0.0676523534231669,0.261704429768902,89.1904091934045
"dim 125",0.066294856900616,0.256453129032544,89.4468623224371
"dim 126",0.0651489537709051,0.252020350127491,89.6988826725645
"dim 127",0.0646248937972201,0.249993091508414,89.948875764073
"dim 128",0.0638585318870784,0.247028519005877,90.1959042830788
"dim 129",0.0630045329853324,0.243724934070602,90.4396292171494
"dim 130",0.0617130284942699,0.238728915022109,90.6783581321715
"dim 131",0.0607525132784098,0.235013285422668,90.9133714175942
"dim 132",0.0598341003251603,0.231460523012184,91.1448319406064
"dim 133",0.0593281226179462,0.229503213315743,91.3743351539221
"dim 134",0.0576587427090865,0.223045431804684,91.5973805857268
"dim 135",0.0570908557576952,0.220848634158082,91.8182292198849
"dim 136",0.0559091702823506,0.216277435850214,92.0345066557351
"dim 137",0.0544212119993374,0.210521460569648,92.2450281163048
"dim 138",0.0540659728841012,0.209147263732725,92.4541753800375
"dim 139",0.0519125886187424,0.200817173606902,92.6549925536444
"dim 140",0.0516848481899478,0.199936189043361,92.8549287426878
